Ano,Preco_Ajustado
2013,62523
2013,61497
2013,61956
2013,61170
2013,60351
2013,58498
2013,57903
2013,56697
2013,56884
2013,58433
2013,56869
2013,55243
2013,56352
2013,55051
2013,54963
2013,53929
2013,54252
2013,55488
2013,55108
2013,55164
2013,56406
2013,53506
2013,51619
2013,49332
2013,47056
2013,47457
2013,45210
2013,45533
2013,47400
2013,49422
2013,48474
2013,49875
2013,51539
2013,52197
2013,50008
2013,53749
2013,53798
2013,54110
2013,53739
2013,52849
2013,53150
2013,55378
2013,54154
2013,54013
2013,52249
2013,53452
2013,52801
2013,52482
2013,50944
2013,50051
2013,51186
2013,51267
2014,50981
2014,49696
2014,49182
2014,47787
2014,47639
2014,48074
2014,48201
2014,47380
2014,47094
2014,46244
2014,44966
2014,47381
2014,49768
2014,51082
2014,51867
2014,52112
2014,51399
2014,52980
2014,53100
2014,53976
2014,52626
2014,51239
2014,53129
2014,54807
2014,54638
2014,53157
2014,54055
2014,54786
2014,57013
2014,57821
2014,55903
2014,55573
2014,56964
2014,58407
2014,61288
2014,60681
2014,56928
2014,57789
2014,57212
2014,54540
2014,55312
2014,55724
2014,51941
2014,54629
2014,53223
2014,51772
2014,56084
2014,54664
2014,51992
2014,48002
2014,49651
2014,50145
2015,48512
2015,48840
2015,49017
2015,48775
2015,46908
2015,48792
2015,50636
2015,51238
2015,51583
2015,49981
2015,48596
2015,51967
2015,50095
2015,53123
2015,54214
2015,53955
2015,56594
2015,56229
2015,57149
2015,57249
2015,54377
2015,52760
2015,52973
2015,53348
2015,53749
2015,54017
2015,52519
2015,52591
2015,52342
2015,49246
2015,50865
2015,48577
2015,47508
2015,45720
2015,47154
2015,46498
2015,46401
2015,47264
2015,44831
2015,47033
2015,49338
2015,47236
2015,47597
2015,45869
2015,46919
2015,46517
2015,48139
2015,45873
2015,45361
2015,45263
2015,43911
2015,44015
2015,43350
2016,40612
2016,38569
2016,38031
2016,40406
2016,40592
2016,39808
2016,41543
2016,41593
2016,49085
2016,49639
2016,50815
2016,49657
2016,50562
2016,50293
2016,53228
2016,52908
2016,53911
2016,51718
2016,51804
2016,49723
2016,49051
2016,50619
2016,49422
2016,49534
2016,50105
2016,52233
2016,53141
2016,55578
2016,57002
2016,57308
2016,57661
2016,58298
2016,59099
2016,57716
2016,59616
2016,58000
2016,57080
2016,58697
2016,58367
2016,61109
2016,61767
2016,64108
